"lny" "x1" "x2" "x3" "x4"
"1" 3.89153171696685 4.90522066722623 1.62682133998329 1.96995602093752 1
"4" 4.03227666280563 5.64212155429024 2.12123619547533 2.89756645944159 1
"7" 3.98689745182137 5.16514142631671 2.658266683157 1.99847062155526 1
"8" 4.00176014097123 5.61031808953538 1.6634682985722 3.35721109622294 1
"10" 4.00529719546054 5.52361021654183 2.03774061954637 3.22662263075717 1
"14" 3.96945445531793 5.33620104574558 1.98461655911057 3.3604179633481 1
"15" 3.95155914881735 4.97971690933601 2.99851717653834 3.86566173068634 1
"19" 3.76779303979718 4.11964226280481 2.20525681067793 2.24521896696229 1
"20" 3.91552718887829 4.61217430205625 3.37843765746232 3.03910331278156 1
"22" 3.73982589812728 4.15832783081163 1.80112097502385 3.15951153497889 1
"24" 3.79038458211618 4.15467616902027 2.55955065065369 2.65528604001618 1
"28" 3.87533830228504 4.86037148495383 2.71556870159572 3.92915218230416 2
"29" 3.95281088242752 5.38066261545306 2.48188266530427 4.31422294234026 2
"35" 3.79073639308794 4.56533732268274 1.84795328874155 2.27033227030405 2
"36" 3.76642990507714 4.43377864671155 2.17911719307424 3.61560590636334 2
"37" 3.86272677211734 5.12747144947864 1.1056815684315 2.20382989499025 2
"38" 4.0236241132597 6.0207477229327 1.05880674206203 2.10965501597603 2
"40" 4.01817318617782 5.61380266752987 2.82200506961074 3.343277448113 2
"43" 4.00168866274682 5.34096267032352 3.66899751543764 4.41737464466028 2
"44" 4.03662459775615 5.88554892106257 2.30249525061493 3.67992718868843 2
"45" 3.75943284067857 4.1032910671817 3.07183676890866 3.12639468143477 2
"46" 3.83372513535639 4.86375868216908 1.38326537821652 1.6329485597657 2
"48" 3.73015095931931 4.37904001265738 1.5885782296718 2.78784765813844 2
"51" 3.71818298293078 4.34444097035833 1.62217899766662 3.29625496837189 2
"52" 4.02003315495489 5.67928180438481 2.62667056902426 3.36722463511119 2
"53" 3.92613969762205 5.25346651230235 2.18062867563107 3.31889432633633 2
"59" 3.77031530223578 4.70172460246096 1.31500021042772 3.64954099570279 2
"61" 4.02709490249553 6.06452143233835 2.8659970069612 4.76149187360805 3
"69" 3.79837887613107 4.86692223862809 2.28533198982878 3.05474571650248 3
"70" 3.83024000572512 5.29484661335261 0.954774591614468 1.76320498095992 3
"71" 3.73928344553715 4.47047545315276 2.76568003937571 3.5899811740079 3
"72" 3.73731522382595 4.69772373423744 1.61553333837599 2.12438984949891 3
"74" 3.75469470308264 4.79647649221837 1.72892161438388 2.84539953228334 3
"75" 3.94507999058588 5.43554112388176 2.96528852047958 2.7276153538148 3
"77" 4.05111121821885 6.36012564942254 2.01332731329485 3.58283707708579 3
"80" 3.79685554114382 4.96208966838569 1.8217055241207 2.65016233539211 3
"81" 3.9013920721403 5.2499667797214 2.78347112233305 2.82722738007749 3
"86" 4.0885844972437 6.78069162183118 1.03875286821394 2.86439287409563 3
"87" 3.79782969073327 4.93405393500874 1.9202830460571 2.56275365355249 3
"91" 3.86902533421933 5.18317857150621 2.46689593225001 3.12881147462545 3
"92" 3.95498659536859 5.56577966186359 3.05583953285489 4.35170142274884 3
"96" 3.81481002722999 4.60011298029617 3.55700861370921 3.36238859703776 3
"100" 4.04784232051938 6.27557011163861 1.91965768853872 2.27087416927092 3
